utt_id,maya,spk_id,filename
spk_002_utt_0022,samal chak,spk_002,VSC-pggBf2Y_0021
spk_002_utt_0023,ba'ax lelo'oba',spk_002,VSC-pggBf2Y_0022
spk_002_utt_0024,bix u boonil,spk_002,VSC-pggBf2Y_0023
spk_002_utt_0025,bix u boonilo'ob,spk_002,VSC-pggBf2Y_0024
spk_002_utt_0026,wíinkilal,spk_002,cKlAnBXWBcg_0000
spk_002_utt_0027,pool,spk_002,cKlAnBXWBcg_0001
spk_002_utt_0028,jo'ol,spk_002,cKlAnBXWBcg_0002
spk_002_utt_0029,tso'otsel pool,spk_002,cKlAnBXWBcg_0003
spk_002_utt_0030,chúuch kaal,spk_002,cKlAnBXWBcg_0004
spk_002_utt_0031,kaal,spk_002,cKlAnBXWBcg_0005
spk_002_utt_0032,keléembal,spk_002,cKlAnBXWBcg_0006
spk_002_utt_0033,tseem,spk_002,cKlAnBXWBcg_0007
spk_002_utt_0034,muuk' k'ab,spk_002,cKlAnBXWBcg_0008
spk_002_utt_0035,k'ab,spk_002,cKlAnBXWBcg_0009
spk_002_utt_0036,iim,spk_002,cKlAnBXWBcg_0010
spk_002_utt_0037,chuuchu',spk_002,cKlAnBXWBcg_0011
spk_002_utt_0038,pool iim,spk_002,cKlAnBXWBcg_0012
spk_002_utt_0039,tso'otsel tseem,spk_002,cKlAnBXWBcg_0013
spk_002_utt_0040,tso'otsel xiik',spk_002,cKlAnBXWBcg_0014
spk_002_utt_0041,xiik',spk_002,cKlAnBXWBcg_0015
spk_002_utt_0042,nak',spk_002,cKlAnBXWBcg_0016
spk_002_utt_0043,paach,spk_002,cKlAnBXWBcg_0017
spk_002_utt_0044,pu'uch,spk_002,cKlAnBXWBcg_0018
spk_002_utt_0045,báat k'ab,spk_002,cKlAnBXWBcg_0019
spk_002_utt_0046,t'o'olol paach,spk_002,cKlAnBXWBcg_0020
spk_002_utt_0047,tuuch,spk_002,cKlAnBXWBcg_0021
spk_002_utt_0048,chuun nak',spk_002,cKlAnBXWBcg_0022
spk_002_utt_0049,kúuk,spk_002,cKlAnBXWBcg_0023
spk_002_utt_0050,t'e'et',spk_002,cKlAnBXWBcg_0024
spk_002_utt_0051,kaal k'ab,spk_002,cKlAnBXWBcg_0025
spk_002_utt_0052,táan k'ab,spk_002,cKlAnBXWBcg_0026
spk_002_utt_0053,ch'ilbil k'ab,spk_002,cKlAnBXWBcg_0027
spk_002_utt_0054,aal k'ab,spk_002,cKlAnBXWBcg_0028
spk_002_utt_0055,paach k'ab,spk_002,cKlAnBXWBcg_0029
spk_002_utt_0056,u maamail k'ab,spk_002,cKlAnBXWBcg_0030
spk_002_utt_0057,tuuch'ub,spk_002,cKlAnBXWBcg_0031
spk_002_utt_0058,chúumukil,spk_002,cKlAnBXWBcg_0032
spk_002_utt_0059,ts'ipit,spk_002,cKlAnBXWBcg_0033
spk_002_utt_0060,t'uup,spk_002,cKlAnBXWBcg_0034
spk_002_utt_0061,íich'ak,spk_002,cKlAnBXWBcg_0035
spk_002_utt_0062,oot',spk_002,cKlAnBXWBcg_0036
spk_002_utt_0063,tso'ots,spk_002,cKlAnBXWBcg_0037
spk_002_utt_0064,bak'el iit,spk_002,cKlAnBXWBcg_0038
spk_002_utt_0065,p'u'uk iit,spk_002,cKlAnBXWBcg_0039
spk_002_utt_0066,muuk' ook,spk_002,cKlAnBXWBcg_0040
spk_002_utt_0067,t'óon,spk_002,cKlAnBXWBcg_0041
spk_002_utt_0068,p'úulil ook,spk_002,cKlAnBXWBcg_0042
spk_002_utt_0069,tselek,spk_002,cKlAnBXWBcg_0043
spk_002_utt_0070,kaal ook,spk_002,cKlAnBXWBcg_0044
spk_002_utt_0071,tu'uk' ook,spk_002,cKlAnBXWBcg_0045
spk_002_utt_0072,ook,spk_002,cKlAnBXWBcg_0046
spk_002_utt_0073,paach ook,spk_002,cKlAnBXWBcg_0047
spk_002_utt_0074,ch'ilbil ook,spk_002,cKlAnBXWBcg_0048
spk_002_utt_0075,aak ook,spk_002,cKlAnBXWBcg_0049
spk_002_utt_0076,táan ook,spk_002,cKlAnBXWBcg_0050
spk_002_utt_0077,tuunkuy,spk_002,cKlAnBXWBcg_0051
spk_002_utt_0078,táan ich,spk_002,cKlAnBXWBcg_0052
spk_002_utt_0079,ich,spk_002,cKlAnBXWBcg_0053
spk_002_utt_0080,xikin,spk_002,cKlAnBXWBcg_0054
spk_002_utt_0081,le' xikin,spk_002,cKlAnBXWBcg_0055
spk_002_utt_0082,táan pool,spk_002,cKlAnBXWBcg_0056
spk_002_utt_0083,táan jo'ol,spk_002,cKlAnBXWBcg_0057
spk_002_utt_0084,táan ich,spk_002,cKlAnBXWBcg_0058
spk_002_utt_0085,móojton,spk_002,cKlAnBXWBcg_0059
spk_002_utt_0086,sóol ich,spk_002,cKlAnBXWBcg_0060
spk_002_utt_0087,máatsab,spk_002,cKlAnBXWBcg_0061
spk_002_utt_0088,ich,spk_002,cKlAnBXWBcg_0062
spk_002_utt_0089,ni',spk_002,cKlAnBXWBcg_0063
spk_002_utt_0090,me'ex,spk_002,cKlAnBXWBcg_0064
spk_002_utt_0091,jool ni',spk_002,cKlAnBXWBcg_0065
spk_002_utt_0092,p'u'uk,spk_002,cKlAnBXWBcg_0066
spk_002_utt_0093,chi',spk_002,cKlAnBXWBcg_0067
spk_002_utt_0094,booxel chi',spk_002,cKlAnBXWBcg_0068
spk_002_utt_0095,koj,spk_002,cKlAnBXWBcg_0069
spk_002_utt_0096,aak',spk_002,cKlAnBXWBcg_0070
spk_002_utt_0097,tuux,spk_002,cKlAnBXWBcg_0071
spk_002_utt_0098,kama'ach,spk_002,cKlAnBXWBcg_0072
spk_002_utt_0099,no'och',spk_002,cKlAnBXWBcg_0073
spk_002_utt_0100,neek' ich,spk_002,cKlAnBXWBcg_0074
spk_002_utt_0101,suuy,spk_002,cKlAnBXWBcg_0075
spk_002_utt_0102,aax,spk_002,cKlAnBXWBcg_0076
spk_002_utt_0103,máaxen,spk_002,J2egflaIFzk_0000
spk_002_utt_0104,bix a k'aaba',spk_002,J2egflaIFzk_0001
spk_002_utt_0105,tu'ux síijech,spk_002,J2egflaIFzk_0002
spk_002_utt_0106,tu'ux a kaajal,spk_002,J2egflaIFzk_0003
spk_002_utt_0107,tu'ux a taal,spk_002,J2egflaIFzk_0004
spk_002_utt_0108,tu'ux ka yantal,spk_002,J2egflaIFzk_0005
spk_002_utt_0109,tu'uxilech,spk_002,J2egflaIFzk_0006
spk_002_utt_0110,wayileche',spk_002,J2egflaIFzk_0007
spk_002_utt_0111,jayp'éel ja'ab yaan tech',spk_002,J2egflaIFzk_0008
spk_002_utt_0112,ba'ax t'aanil a woojel,spk_002,J2egflaIFzk_0009
spk_002_utt_0113,a woojel maaya,spk_002,J2egflaIFzk_0010
spk_002_utt_0114,in woojel maaya,spk_002,J2egflaIFzk_0011
spk_002_utt_0115,kin na'atik,spk_002,J2egflaIFzk_0012
spk_002_utt_0116,ma',spk_002,J2egflaIFzk_0013
spk_002_utt_0117,mix táan in na'atik,spk_002,J2egflaIFzk_0014
spk_002_utt_0118,ka t'anik maaya,spk_002,J2egflaIFzk_0015
spk_002_utt_0119,kin t'anik,spk_002,J2egflaIFzk_0016
spk_002_utt_0120,yaan a patk'aaba',spk_002,J2egflaIFzk_0017
spk_002_utt_0121,bix u ya'ala'al tech,spk_002,J2egflaIFzk_0018
spk_002_utt_0122,ka meyaj,spk_002,J2egflaIFzk_0019
spk_002_utt_0123,kin meyaj,spk_002,J2egflaIFzk_0020
spk_002_utt_0124,chéen xoknáalen,spk_002,J2egflaIFzk_0021
spk_002_utt_0125,ba'ax meyajil ka meetik,spk_002,J2egflaIFzk_0022
spk_002_utt_0126,jka'ansajen,spk_002,J2egflaIFzk_0023
spk_002_utt_0127,mix táan in meyaj,spk_002,J2egflaIFzk_0024
spk_002_utt_0128,yaan,spk_002,J2egflaIFzk_0025
spk_002_utt_0129,mina'an,spk_002,J2egflaIFzk_0026
spk_002_utt_0130,ts'oka'an a beel,spk_002,J2egflaIFzk_0027
spk_002_utt_0131,ts'oka'an in beel,spk_002,J2egflaIFzk_0028
spk_002_utt_0132,mix ts'oka'an in beeli',spk_002,J2egflaIFzk_0029
spk_002_utt_0133,ba'ax ka xokik,spk_002,J2egflaIFzk_0030
spk_002_utt_0134,mix táan in xook,spk_002,J2egflaIFzk_0031
spk_003_utt_0001,áakach,spk_003,6STut51VHVU_0000
spk_004_utt_0001,áayim,spk_004,6STut51VHVU_0001
spk_003_utt_0002,baach,spk_003,6STut51VHVU_0002
spk_004_utt_0002,báalam,spk_004,6STut51VHVU_0003
spk_003_utt_0003,baj,spk_003,6STut51VHVU_0004
spk_004_utt_0003,ch'ejun,spk_004,6STut51VHVU_0005
spk_003_utt_0004,ch'ik,spk_003,6STut51VHVU_0006
spk_004_utt_0004,ch'och'lim,spk_004,6STut51VHVU_0007
spk_003_utt_0005,ch'omak,spk_003,6STut51VHVU_0008
spk_003_utt_0006,ch'amak,spk_003,6STut51VHVU_0009
spk_004_utt_0005,chab,spk_004,6STut51VHVU_0010
spk_003_utt_0007,chakts'íits'ib,spk_003,6STut51VHVU_0011
spk_004_utt_0006,chiiwol,spk_004,6STut51VHVU_0012
spk_003_utt_0008,chimes,spk_003,6STut51VHVU_0013
spk_004_utt_0007,i',spk_004,6STut51VHVU_0014
spk_003_utt_0009,k'áambul,spk_003,6STut51VHVU_0015
spk_004_utt_0008,k'éek'en,spk_004,6STut51VHVU_0016
spk_003_utt_0010,k'i'ix paach ooch,spk_003,6STut51VHVU_0017
spk_004_utt_0009,k'ili',spk_004,6STut51VHVU_0018
spk_003_utt_0011,k'oxol,spk_003,6STut51VHVU_0019
spk_004_utt_0010,k'uuruch,spk_004,6STut51VHVU_0020
spk_003_utt_0012,kaan,spk_003,6STut51VHVU_0021
spk_004_utt_0011,kaax,spk_004,6STut51VHVU_0022
spk_003_utt_0013,kéej,spk_003,6STut51VHVU_0023
spk_004_utt_0012,kisay,spk_004,6STut51VHVU_0024
spk_003_utt_0014,kitam,spk_003,6STut51VHVU_0025
spk_004_utt_0013,koj,spk_004,6STut51VHVU_0026
spk_003_utt_0015,kóokay,spk_003,6STut51VHVU_0027
spk_004_utt_0014,kosom,spk_004,6STut51VHVU_0028
spk_004_utt_0015,kusam,spk_004,6STut51VHVU_0029
spk_003_utt_0016,ku'uk,spk_003,6STut51VHVU_0030
spk_004_utt_0016,kuuts ja',spk_004,6STut51VHVU_0031
spk_003_utt_0017,lúukumkaan,spk_003,6STut51VHVU_0032
spk_004_utt_0017,máas,spk_004,6STut51VHVU_0033
spk_003_utt_0018,miis,spk_003,6STut51VHVU_0034
spk_004_utt_0018,mo',spk_004,6STut51VHVU_0035
spk_003_utt_0019,muuch,spk_003,6STut51VHVU_0036
spk_004_utt_0019,peech,spk_004,6STut51VHVU_0037
spk_003_utt_0020,peek',spk_003,6STut51VHVU_0038
spk_004_utt_0020,péepen,spk_004,6STut51VHVU_0039
spk_003_utt_0021,síinik,spk_003,6STut51VHVU_0040
spk_004_utt_0021,soots',spk_004,6STut51VHVU_0041
spk_003_utt_0022,t'eel,spk_003,6STut51VHVU_0042
spk_004_utt_0022,t'u'ul,spk_004,6STut51VHVU_0043
spk_003_utt_0023,taman,spk_003,6STut51VHVU_0044
spk_004_utt_0023,tooj,spk_004,6STut51VHVU_0045
spk_003_utt_0024,ts'aajwayak',spk_003,6STut51VHVU_0046
spk_004_utt_0024,tsíimin,spk_004,6STut51VHVU_0047
spk_003_utt_0025,tso',spk_003,6STut51VHVU_0048
spk_004_utt_0025,turix,spk_004,6STut51VHVU_0049
spk_003_utt_0026,uk',spk_003,6STut51VHVU_0050
spk_004_utt_0026,wech lu'um,spk_004,6STut51VHVU_0051
spk_003_utt_0027,xooch',spk_003,6STut51VHVU_0052
spk_004_utt_0027,ya'axkach,spk_004,6STut51VHVU_0053
spk_003_utt_0028,yik'el kaab,spk_003,6STut51VHVU_0054
spk_004_utt_0028,yúuyum,spk_004,6STut51VHVU_0055
spk_002_utt_0135,le missa',spk_002,qC4slX0zprw_0000
spk_002_utt_0136,le misso',spk_002,qC4slX0zprw_0001
spk_002_utt_0137,le che'obo',spk_002,qC4slX0zprw_0002
spk_002_utt_0138,le peek'o'oba',spk_002,qC4slX0zprw_0003
spk_002_utt_0139,in ti'al,spk_002,qC4slX0zprw_0004
spk_002_utt_0140,a ti'al,spk_002,qC4slX0zprw_0005
spk_002_utt_0141,u ti'al,spk_002,qC4slX0zprw_0006
spk_002_utt_0142,le leeko' a ti'ale'ex,spk_002,qC4slX0zprw_0007
spk_002_utt_0143,a ti'ale'ex,spk_002,qC4slX0zprw_0008
spk_002_utt_0144,le ka'ap'éel leek'a,spk_002,qC4slX0zprw_0009
spk_002_utt_0145,le t'eelo'obo',spk_002,qC4slX0zprw_0010
spk_002_utt_0146,u ti'alo'ob,spk_002,qC4slX0zprw_0011
spk_002_utt_0147,le kaaxo'oba',spk_002,qC4slX0zprw_0012
spk_002_utt_0148,a ti'al,spk_002,qC4slX0zprw_0013
spk_002_utt_0149,le p'aako',spk_002,qC4slX0zprw_0014
spk_002_utt_0150,in ti'alo'on,spk_002,qC4slX0zprw_0015
spk_002_utt_0151,in ti'al le ju'una',spk_002,qC4slX0zprw_0016
spk_002_utt_0152,le,spk_002,qC4slX0zprw_0017
spk_002_utt_0153,wakaxo',spk_002,qC4slX0zprw_0018
spk_002_utt_0154,a ti'ale'ex,spk_002,qC4slX0zprw_0019
spk_005_utt_0001,túumben kaaj,spk_005,z_CahiwyrK4_0000
spk_005_utt_0002,teetaane'ex,spk_005,z_CahiwyrK4_0001
spk_005_utt_0003,bejla'e' tin kanik,spk_005,z_CahiwyrK4_0002
spk_005_utt_0004,maayat'aan,spk_005,z_CahiwyrK4_0003
spk_005_utt_0005,ma'alob k'iin,spk_005,z_CahiwyrK4_0004
spk_005_utt_0006,ma'alob chíinil k'iin,spk_005,z_CahiwyrK4_0005
spk_005_utt_0007,ma'alob áak'ab,spk_005,z_CahiwyrK4_0006
spk_005_utt_0008,bix a beel,spk_005,z_CahiwyrK4_0007
spk_005_utt_0009,ki'imak in wóol,spk_005,z_CahiwyrK4_0008
spk_005_utt_0010,ba'ax ka beetik,spk_005,z_CahiwyrK4_0009
spk_005_utt_0011,tin meyaj,spk_005,z_CahiwyrK4_0010
spk_005_utt_0012,bix a k'aaba',spk_005,z_CahiwyrK4_0011
spk_005_utt_0013,tu'ux a kaajal,spk_005,z_CahiwyrK4_0012
spk_005_utt_0014,in kaajal,spk_005,z_CahiwyrK4_0013
spk_005_utt_0015,ni'ibóolal,spk_005,z_CahiwyrK4_0014
spk_001_utt_0046,jkaline',spk_001,UHSQXsuiFU0_0000
spk_001_utt_0047,tia'an te'e kaaja',spk_001,UHSQXsuiFU0_0001
spk_001_utt_0048,xkoonchae',spk_001,UHSQXsuiFU0_0002
spk_001_utt_0049,tia'an te'e kaaja',spk_001,UHSQXsuiFU0_0003
spk_001_utt_0050,in wíits'ine',spk_001,UHSQXsuiFU0_0004
spk_001_utt_0051,tia'an te'e kaaja',spk_001,UHSQXsuiFU0_0005
spk_001_utt_0052,jo' kajakbalen,spk_001,oLqLnAWwI7M_0000
spk_001_utt_0053,jo' kajakbalech,spk_001,oLqLnAWwI7M_0001
spk_006_utt_0001,jo' kajakbal in nool,spk_006,oLqLnAWwI7M_0002
spk_001_utt_0054,jo' kaja'an in chiich,spk_001,oLqLnAWwI7M_0003
spk_006_utt_0002,jo' kaja'ano'on,spk_006,oLqLnAWwI7M_0004
spk_001_utt_0055,kin jóok'ol k'íiwik,spk_001,mpMmC-vKBLE_0000
spk_001_utt_0056,ka jóok'ol k'íiwik,spk_001,mpMmC-vKBLE_0001
spk_001_utt_0057,a k'aj óol in wotoch,spk_001,BoOhyyV7wh4_0000
spk_001_utt_0058,in k'aj óole'ex,spk_001,BoOhyyV7wh4_0001
spk_001_utt_0059,weyilene',spk_001,Nd26k5DZfRk_0000
spk_001_utt_0060,weyileche',spk_001,Nd26k5DZfRk_0001
spk_001_utt_0061,weyile',spk_001,Nd26k5DZfRk_0002
spk_001_utt_0062,weyilo'one',spk_001,Nd26k5DZfRk_0003
spk_001_utt_0063,weyilo'one'exe',spk_001,Nd26k5DZfRk_0004
spk_006_utt_0003,weyile'exe',spk_006,Nd26k5DZfRk_0005
spk_006_utt_0004,weyilo'obe',spk_006,Nd26k5DZfRk_0006
spk_006_utt_0005,tu'uxilech,spk_006,Nd26k5DZfRk_0007
spk_006_utt_0006,tu'uxil,spk_006,Nd26k5DZfRk_0008
spk_006_utt_0007,tu'uxile'ex,spk_006,Nd26k5DZfRk_0009
spk_001_utt_0064,tu'uxile'ob,spk_001,Nd26k5DZfRk_0010
spk_001_utt_0065,taalen xíimbal,spk_001,Nd26k5DZfRk_0011
spk_001_utt_0066,taalech maan,spk_001,Nd26k5DZfRk_0012
spk_001_utt_0067,taal koonol,spk_001,Nd26k5DZfRk_0013
spk_001_utt_0068,taalo'on xíimbal,spk_001,Nd26k5DZfRk_0014
spk_001_utt_0069,k'íimbila',spk_001,Nd26k5DZfRk_0015
spk_006_utt_0008,taalo'one'ex xíimbal,spk_006,Nd26k5DZfRk_0016
spk_006_utt_0009,k'íimbila',spk_006,Nd26k5DZfRk_0017
spk_006_utt_0010,taale'ex maan íitsmal,spk_006,Nd26k5DZfRk_0018
spk_006_utt_0011,taalo'ob koonol jo',spk_006,Nd26k5DZfRk_0019
spk_006_utt_0012,taalen in xíimbalt,spk_006,Nd26k5DZfRk_0020
spk_006_utt_0013,in chiich x máaj kaas,spk_006,Nd26k5DZfRk_0021
spk_006_utt_0014,taalech a xíimbalt,spk_006,Nd26k5DZfRk_0022
spk_006_utt_0015,a láak'alal,spk_006,Nd26k5DZfRk_0023
spk_001_utt_0070,taal u xíimbalt,spk_001,Nd26k5DZfRk_0024
spk_001_utt_0071,u taata,spk_001,Nd26k5DZfRk_0025
spk_001_utt_0072,j beenoe',spk_001,Nd26k5DZfRk_0026
spk_001_utt_0073,taal u xíimbalt,spk_001,Nd26k5DZfRk_0027
spk_001_utt_0074,u kiik x tere,spk_001,Nd26k5DZfRk_0028
spk_001_utt_0075,taalo'on k xíimbalt,spk_001,Nd26k5DZfRk_0029
spk_001_utt_0076,a suku'un j beeto,spk_001,Nd26k5DZfRk_0030
spk_001_utt_0077,taalo'on k xíimbalte'ex,spk_001,Nd26k5DZfRk_0031
spk_001_utt_0078,a suku'un j beeto,spk_001,Nd26k5DZfRk_0032
spk_001_utt_0079,taalo'ob u xíimbalt,spk_001,Nd26k5DZfRk_0033
spk_001_utt_0080,in wíits'in x biicha,spk_001,Nd26k5DZfRk_0034
spk_006_utt_0016,tin wilaj jmaas,spk_006,M7uHw6gbksI_0000
spk_006_utt_0017,ta wilaj xpiil,spk_006,M7uHw6gbksI_0001
spk_006_utt_0018,tsikbalnajen jun súutuk',spk_006,M7uHw6gbksI_0002
spk_001_utt_0081,bix a beel,spk_001,TMo-drqtxM_0000
spk_001_utt_0082,bix u beel a kiik,spk_001,TMo-drqtxM_0001
spk_006_utt_0019,bix a beele'ex,spk_006,TMo-drqtxM_0002
spk_006_utt_0020,bix u beelo'ob,spk_006,TMo-drqtxM_0003
spk_006_utt_0021,ki'imak in wóol in wilikech,spk_006,TMo-drqtxM_0004
spk_006_utt_0022,ki'imak in wóol in wilike'ex,spk_006,TMo-drqtxM_0005
spk_006_utt_0023,tu'ux ka bin,spk_006,TMo-drqtxM_0006
spk_001_utt_0083,tu'ux ku bin a wíits'in,spk_001,TMo-drqtxM_0007
spk_001_utt_0084,tu'ux ka bine'ex,spk_001,TMo-drqtxM_0008
spk_001_utt_0085,tu'ux ku bino'ob,spk_001,TMo-drqtxM_0009
spk_001_utt_0086,táan in bin meyaj,spk_001,TMo-drqtxM_0010
spk_001_utt_0087,táan a bin páak,spk_001,TMo-drqtxM_0011
spk_006_utt_0024,táan u bin juuch' xmeech,spk_006,TMo-drqtxM_0012
spk_006_utt_0025,táan k bin xíimbal,spk_006,TMo-drqtxM_0013
spk_006_utt_0026,táan k bine'ex cha'an,spk_006,TMo-drqtxM_0014
spk_001_utt_0088,táan a bine'ex ts'oon,spk_001,TMo-drqtxM_0015
spk_001_utt_0089,táan u bino'ob si',spk_001,TMo-drqtxM_0016
spk_001_utt_0090,táan in wáalkab,spk_001,TMo-drqtxM_0017
spk_006_utt_0027,táan a wáalkab,spk_006,TMo-drqtxM_0018
spk_006_utt_0028,táan k áalkab,spk_006,TMo-drqtxM_0019
spk_006_utt_0029,táan k áalkabe'ex,spk_006,TMo-drqtxM_0020
spk_001_utt_0091,táan a wáalkabe'ex,spk_001,TMo-drqtxM_0021
spk_007_utt_0001,bix a beel,spk_007,MEix2spzlkc_0000
spk_007_utt_0002,jach ma'alob,spk_007,MEix2spzlkc_0001
spk_007_utt_0003,ma'alob,spk_007,MEix2spzlkc_0002
spk_007_utt_0004,chan ma'alob,spk_007,MEix2spzlkc_0003
spk_007_utt_0005,ma' ma'alobi',spk_007,MEix2spzlkc_0004
spk_007_utt_0006,bix anikech,spk_007,MEix2spzlkc_0005
spk_007_utt_0007,tooj in wóol,spk_007,MEix2spzlkc_0006
spk_007_utt_0008,k'oja'anen,spk_007,MEix2spzlkc_0007
spk_007_utt_0009,yaaj in pool,spk_007,MEix2spzlkc_0008
spk_007_utt_0010,yaaj in naak',spk_007,MEix2spzlkc_0009
spk_007_utt_0011,táan in chokwil,spk_007,MEix2spzlkc_0010
spk_007_utt_0012,yanten se'en,spk_007,MEix2spzlkc_0011
spk_007_utt_0013,bix a wanil,spk_007,MEix2spzlkc_0012
spk_007_utt_0014,luba'an in wóol,spk_007,MEix2spzlkc_0013
spk_007_utt_0015,ki'imak,spk_007,MEix2spzlkc_0014
spk_007_utt_0016,in wóol,spk_007,MEix2spzlkc_0015
spk_007_utt_0017,k'uuxen,spk_007,MEix2spzlkc_0016
spk_007_utt_0018,ts'íiken,spk_007,MEix2spzlkc_0017
spk_007_utt_0019,p'u'ujane,spk_007,MEix2spzlkc_0018
spk_007_utt_0020,ba'ax tun,spk_007,MEix2spzlkc_0019
spk_007_utt_0021,chen beya',spk_007,MEix2spzlkc_0020
spk_007_utt_0022,chen mixba'al,spk_007,MEix2spzlkc_0021
spk_007_utt_0023,ma'alob,spk_007,MEix2spzlkc_0022
spk_007_utt_0024,kanáantabaj,spk_007,MEix2spzlkc_0023
spk_007_utt_0025,tak samal,spk_007,MEix2spzlkc_0024
spk_007_utt_0026,tak tuláak' k'iin,spk_007,MEix2spzlkc_0025
spk_007_utt_0027,tak ka'akat,spk_007,MEix2spzlkc_0026
spk_007_utt_0028,xi'iktech uts,spk_007,MEix2spzlkc_0027
spk_001_utt_0092,jkaline' ku k'ajóoltik j saan,spk_001,ydoApQfbGiA_0000
spk_008_utt_0001,le tsikbala' ku yúuchul tu kaajil k'íimbila',spk_008,ydoApQfbGiA_0001
spk_008_utt_0002,jkaline' tia'an te'e kaaja',spk_008,ydoApQfbGiA_0002
